date,stepCount,stepsDistance,calories,sleepQuality,sleepDuration,inactivityAlertCount,dailyMetMinutes,maximumHeartRate,NO_DATA,SLEEP,SEDENTARY,LIGHT,CONTINUOS_MODERATE,INTERMITTENT_MODERATE,CONTINUOS_VIGOROUS,INTERMITTENT_VIGOROUS,NON_WEAR,sleepDuration_sec
2021-05-27,21625,13282.806640625,2947,0.902924,07:07:30,0,442.15,,0,06:38:00,06:08:00,07:29:30,03:02:30,00:00:00,00:13:30,00:00:00,00:28:30,07:07:30
2023-02-27,23681,15346.2412109375,2751,0.845528,09:13:30,0,460.90000000000026,197.0,0,10:39:00,05:38:30,03:37:00,03:40:00,00:00:00,00:25:30,00:00:00,00:00:00,09:13:30
2023-05-13,14852,10029.732421875,2731,0.82762,08:30:30,0,386.10000000000093,197.0,0,08:10:00,05:06:30,07:11:30,01:14:00,00:00:00,00:49:00,00:00:00,01:29:00,08:30:30
2025-02-04,9765,5268.939453125,2286,0.0,00:00:00,0,139.94999999999996,197.0,0,02:27:30,07:03:30,06:27:00,01:03:00,00:00:00,00:00:00,00:00:00,06:59:00,00:00:00
2024-04-25,5131,2821.911865234375,1967,0.0,00:00:00,0,90.2,197.0,0,03:29:30,07:06:30,04:11:00,00:40:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2021-03-05,13702,7545.00390625,2613,0.919176,05:15:30,0,268.1999999999999,,0,07:39:30,06:37:30,07:36:00,02:03:00,00:00:00,00:04:00,00:00:00,00:00:00,05:15:30
2024-12-11,8602,4399.66357421875,2286,0.849301,08:21:00,0,121.3499999999998,197.0,0,07:52:00,08:43:00,06:48:30,00:36:30,00:00:00,00:00:00,00:00:00,00:00:00,08:21:00
2022-07-17,542,265.97833251953125,1475,0.823093,07:52:00,0,15.550000000000008,197.0,0,22:17:30,00:56:00,00:44:00,00:02:30,00:00:00,00:00:00,00:00:00,00:00:00,07:52:00
2025-06-02,19994,13221.11328125,2704,0.816479,08:54:00,0,417.1999999999999,197.0,0,08:19:00,06:34:30,06:32:00,01:53:00,00:00:00,00:41:30,00:00:00,00:00:00,08:54:00
2020-06-10,9971,8661.888671875,1792,0.0,00:00:00,0,475.08750000000117,,0,00:11:00,00:06:30,00:08:30,00:00:00,00:00:30,01:00:30,00:01:30,22:31:30,00:00:00
